1;hai;wafu
1;nta;wane
1;wafu;hai
1;chini;juu
1;dhidi;kwa
1;dim;mkali
1;duni;bora
1;huko;hapa
1;juu;chini
1;kavu;mvua
1;kwa;dhidi
1;mvua;kavu
1;ndani;nje
1;nje;ndani
1;amani;vita
1;bora;mbaya
1;kama;chuki
1;katika;nje
1;kuu;madogo
1;mbaya;mema
1;siku;usiku
1;swali;jibu
1;tele;adimu
1;upeo;chini
1;usawa;wima
2;vita;amani
2;ari;amelala
2;baridi;joto
2;baridi;moto
2;chini;zaidi
2;daima;kamwe
2;giza;mwanga
2;hayupo;sasa
2;kale;kisasa
2;kamwe;daima
2;kiasi;mlevi
2;kina;kirefu
2;kubwa;ndogo
2;kudumu;muda
2;kuu;utulivu
2;kweli;uongo
2;laini;bidii
2;lawama;sifa
2;makosa;haki
2;mateka;bure
2;mbaya;laini
2;mengi;adimu
2;mgeni;jeshi
2;mkuu;vidogo
2;moto;baridi
2;mpole;mbaya
2;mwanga;giza
2;mwema;mbaya
2;nafuu;ghali
2;ngumu;laini
2;nyuma;mbele
2;rafiki;adui
3;rahisi;tata
3;safi;mchafu
3;umoja;wingi
3;uongo;kweli
3;wakali;kali
3;wema;makamu
3;wingi;umoja
3;zaidi;chini
3;zamani;mpya
3;bandia;asili
3;binafsi;umma
3;chache;wengi
3;dhaifu;nguvu
3;faida;hasara
3;furaha huzuni
3;haki;dhuluma
3;hiari;lazima
3;jasiri;waoga
3;juu ya;mbali
3;karibu;mbali
3;kilima;bonde
3;kubwa;vidogo
3;kujibu;swali
3;kushoto kulia
3;lazima;hiari
3;mara;kufunua
3;mbali;karibu
3;mchana;usiku
3;mgonjwa;afya
3;mgumu;rahisi
3;mitumba;mpya
3;mkali;wepesi
3;mtiifu;waasi
4;ndani ya;nje
4;ngumu;rahisi
4;nguvu;dhaifu
4;nzito;mwanga
4;pamoja;mbali
4;rahisi;bidii
4;shujaa;mwoga
4;tu;kudhulumu
4;ujasiri;woga
4;upendo;chuki
4;usiku;mchana
4;uwezo;hawezi
4;wavivu;bidii
4;wengi;chache
4;wepesi;mkali
4;afya;wagonjwa
4;hakuna;baadhi
4;halali;haramu
4;halisi;bandia
4;hatari;salama
4;huzuni;furaha
4;imefika kwenda
4;kawaida;nadra
4;kikatili;aina
4;kuacha;kwenda
4;kuanza;mwisho
4;kucheka;kilio
4;kuelea;kuzama
4;kufungwa;wazi
4;kukua;kuogopa
4;kuogopa;kukua
4;kupata;kuwapa
4;kupata;salama
4;kushoto;kulia
4;kutoa;kukataa
5;kutoa;kupokea
5;kuvutia;muasi
5;kuzama;kuelea
5;kwenda;kuacha
5;messy;nadhifu
5;mkubwa;vidogo
5;mshirika;adui
5;mwisho;kuanza
5;mwisho;kwanza
5;nadra;kawaida
5;nyeupe;nyeusi
5;salama;salama
5;utulivu;kubwa
5;zamani;vijana
5;baraka;kulaani
5;bure;amefungwa
5;chini;hapo juu
5;hasara;ushindi
5;jioni;alfajiri
5;kelele;utulivu
5;kuongeza;chini
5;kupaa;atashuka
5;maarifa;ujinga
5;madhara;wapole
5;madogo;mikubwa
5;mahitaji;ugavi
5;mgonjwa;papara
5;mwembamba;pana
5;pana;nyembamba
5;ruzuku;kukataa
5;tajiri;maskini
5;wachache;wengi
5;wajinga;busara
5;zaidi;chini ya
5;akili;hawaelewi
6;chini ya;juu ya
6;faraja;usumbufu
6;haraka;polepole
6;hekima;upumbavu
6;kijana;msichana
6;kiongozi;mfuasi
6;kuanza;kumaliza
6;kuchukua;kuwapa
6;kuisha;kuangaza
6;kukusudia;ajali
6;kupanua;mkataba
6;kupata;kupoteza
6;kupoteza;kupata
6;kusaidia;kuzuia
6;makini;kutojali
6;mapema;marehemu
6;mbinguni;kuzimu
6;mkataba;kupanua
6;mpana;nyembamba
6;peke yao;pamoja
6;shwari;wasiwasi
6;tamaa;matumaini
6;wajanja;kijinga
6;kaskazini;kusini
6;kujenga;kuharibu
6;kukomaa;machanga
6;kukubali;kukataa
6;kupunguza;haraka
6;kuridhisha;adimu
7;kushuka;kukubali
7;kuwasili;aondoke
7;mashairi;nathari
7;msichana;mvulana
7;tofauti;kujiunga
7;umaskini;utajiri
7;Unaweza;hawawezi
7;wote;hakuna hata
7;kisawe;na kinyume
7;kuficha;yatangaza
7;kusahau;kukumbuka
7;kushinda;kupoteza
7;kutoelewa;kuelewa
7;kuyeyuka;kufungia
7;kuzuia;kuwasaidia
7;na kinyume;kisawe
7;sahihi;sio sahihi
7;tamaa;kuhamasisha
8;ushindi;kushindwa
8;kufungua;imefungwa
8;kukopa;kuwakopesha
8;kuonekana;kutoweka
8;kuongeza;kupunguza
8;kupunguza;kuongeza
8;kushinikiza;kuvuta
8;siku za nyuma;sasa
8;bahati;bahati mbaya
8;kupitisha;kuyakataa
8;kurefusha;kufupisha
8;kutoweka;itaonekana
8;kuwa wazi;ulichukua
8;maarufu;haijulikani
8;mafanikio;kushindwa
8;mara kwa mara;nadra
8;pamoja na;kuwatenga
9;uwezekano;uwezekano
9;waaminifu;mwaminifu
9;waaminifu;waaminifu
9;wanyenyekevu;kiburi
9;hatia;wasio na hatia
9;kirefu;kilichofanywa
9;kufurahi;kusikitisha
9;kushindwa;kufanikiwa
9;hata;isiyo ya kawaida
9;isiyo ya kawaida;hata
9;kubwa;yasiyo na maana
9;kujiunga;kutenganisha
9;kupatikana;waliopotea
9;kuwatawanya;kukusanya
9;mara kwa mara;kawaida
9;muhimu;yasiyo na maana
9;mwenye nyumba;mpangaji
10;kuchangamka;kusikitisha
10;kwenda chini;kwenda juu
10;iwezekanavyo;haiwezekani
10;kuchanganya;kutenganisha
10;haijulikani;inayojulikana
10;inayojulikana;haijulikani
10;inayoonekana;asiyeonekana
10;kukubaliana;hawakubaliani
10;waliohitimu;zinazoridhisha
10;zinazoridhisha;waliohitimu
10;kuhamasisha;kukatisha tamaa
10;kuteketea kabisa;itaonekana
10;wenye nacho;wasiokuwa nacho
10;kwa moyo mkunjufu;kusikitisha