abiria,passenger
abudu,worship
achari,spice
adhabu,punishment
adhibu,punish
adui,enemy
afiki,appease
afya,health
ahali,wife
ajabu,wonder
ajali,accident
ajira,employment
akaunti,account
akili,brawn
alama,mark
albamu,album
almasi,diamond
amri,command
andazi,doughnut
andiko,writing
anwani,address
aproni,apron
ardhi,sibala
asali,honey
ashiria,warn
asilimia,percentage
askari,guard
baba,father
babu,grandfather
bahari,sea
baharia,sailor
bahasha,envelope
bajeti,budget
bakuli,bowl
balagha,rhetorical
balozi,ambassador
bambika,excitement
bana,squeeze
bandari,port
bao,goal
baraka,blessing
basi,therefore
bata,duck
bega,shoulder
bei,price
bendi,band
benki,bank
beseni,basin
bibi,lady
bidii,work
bikira,virgin
bilioni,billion
binadamu,human
binamu,cousin
bingwa,hero
binti,daughter
biskuti,biscuit
boma,home
bonde,valley
bondia,boxer
bonyeza,dial
bora,better
buibui,spider
buluu,blue
buni,berry
burudani,entertainment
buyu,calabash
chache,less
chaguo,choice
chai,tea
chaki,ant
chakula,food
chama,party
chanjo,vaccine
chanzo,cause
chapa,logo
chati,chart
chawa,louse
cheche,spark
cheki,cheque
chembe,arrow
chenza,tangerine
cheo,rank
chesi,chess
chifu,chief
chini,down
chipukizi,seedling
chokoleti,chocolate
choma,burn
chombo,tool
choo,toilet
chui,leopard
chumba,room
chumvi,salt
chungwa,orange
chuo,institution
chupi,underwear
chura,janitor
dagla,overcoat
daka,shelve
dakika,minute
daktari,doctor
damisi,cheerful
dampo,dump
darana,touch
darasa,classroom
dawa,medicine
dawati,desk
dazani,dozen
deki,mop
demokrasia,democracy
deni,credit
dereva,driver
dhahabu,gold
dhamana,value
dhambi,sin
dhidi,against
dhuluma,injustice
dibaji,introduction
digrii,degree
dikteta,dictator
dinari,archaic
dira,compass
dirisha,window
doa,spot
dola,dollar
doria,shift
duni,minimal
dunia,earth
elfu,thousand
elimu,education
eropleni,aeroplane
fahali,ox
fainali,final
falaki,astronomy
farakano,division
farasi,horse
fasiri,translation
fedha,silver
feri,ferry
fidia,ransom
filimbi,whistle
firauni,pharaoh
fisi,hyena
fizikia,physics
fomu,form
fremu,frame
friji,fridge
fua,wash
fujo,disorder
fuko,mole
fulusi,currency
fumbo,riddle
fundo,knot
funga,score
funzo,lesson
fusi,rubble
fuzu,qualify
ganda,peel
gavana,governor
gazeti,newspaper
gego,molar
geji,gauge
ghairi,cancel
ghala,granary
ghali,expensive
gharama,cost
gharika,flood
ghashi,fraud
godoro,mattress
gofu,ruins
goli,goalpost
gome,bark
goti,knee
gumu,hard
gura,go
hadhi,honour
hadithi,story
haja,need
haki,right
hakimu,magistrate
hamu,desire
handaki,trench
hanjamu,urge
haragwe,bean
haramia,pirate
harimuni,saxophone
hasara,loss
hata,even
hati,certificate
hatia,fault
hatua,step
hedhi,menstruation
hekima,wisdom
heko,congratulate
hekta,hectare
helikopta,helicopter
heshima,respect
hewa,air
hiari,choice
hidrojeni,hydrogen
hindi,maize
historia,history
hodari,stable
hoja,statement
hoji,interrogate
hongera,congratulation
hotuba,speech
huba,love
huduma,service
huruma,mercy
ibada,prayer
idara,department
idhini,permission
idhinisha,allow
ilani,warning
imani,faith
imara,strong
imarisha,stabilize
ini,liver
injili,gospel
injini,engine
ishi,live
ishirini,twenty
isimu,linguistics
itikadi,tradition
jagi,jug
jaja,daisy
jaji,judge
jaketi,jacket
jalada,file
jamaa,relative
jambo,occurence
jamhuri,state
jamiana,procreation
jamii,community
jana,yesterday
janga,disaster
jangili,gangster
jangwa,desert
jani,leaf
jarari,halyard
jaribio,test
jarida,magazine
jasho,sweat
jawabu,answer
jedwali,programme
jemu,jam
jenerali,general
jengo,building
jeraha,wound
jeshi,army
jeti,jet
jezi,jersey
jibini,cheese
jifu,carcas
jiji,city
jike,female
jiko,stove
jikoni,kitchen
jimbi,cockerel
jina,name
jinai,crime
jinamizi,nightmare
jini,gin
jino,tooth
jinsi,tooth
jinsia,sex
jiografia,geography
jiolojia,geology
jiometri,geometry
jioni,evening
jipu,boil
jirani,neighbour
jiriwa,vice
jitu,ogre
jivu,ash
jiwe,stone
jogoo,rooster
jokofu,refrigerator
jongoo,millipede
jopo,panel
josho,dip
joto,fever
jua,sun
juhudi,struggle
jum,palace
jumba,mansion
jumla,sum
jumuisho,inclusion
juto,regret
juu,up
kaa,charcoal
kaakaa,palette
kaanga,fry
kabati,cupboard
kabidhi,give
kabila,tribe
kaboni,carbon
kabwela,hypocrite
kadha,few
kadi,card
kahawa,coffee
kalamu,pen
kali,sour
kamanda,commander
kamati,committee
kamba,rope
kambi,camp
kamera,camera
kamili,complete
kamishna,commissioner
kampeni,campaign
kampuni,company
kamusi,dictionary
kana,deny
kanda,tape
kandanda,soccer
kandarasi,contract
kanga,guineafowl
kani,energy
kanisa,church
kansa,cancer
kanusha,refuse
karamu,feast
karani,secretary
karatasi,paper
kardinali,cardinal
karo,fees
kasa,turtle
kaseti,cassette
kasha,storage
kasoro,error
kasuku,parrot
kavu,dry
kawaida,normal
kaya,homestead
kayamba,rattle
kazi,work
keki,cake
kelele,noise
kemia,chemistry
kengele,bell
kero,bother
kesi,case
kiangazi,drought
kiatu,shoe
kiazi,potato
kibali,permit
kibanda,stall
kibare,slap
kiboko,hippo
kichaka,bush
kichujio,sieve
kichungi,filter
kichwa,head
kichwamaji,idiots
kidole,finger
kienyeji,traditional
kifaranga,chick
kifaru,rhino
kifo,death
kifua,chest
kifuniko,lid
kijiji,village
kijiko,spoon
kijiti,stick
kikapu,basket
kikaramba,geezer
kikingi,log
kikofi,palms
kikohozi,cough
kikombe,cup
kikundi,group
kilema,handicap
kimataifa,international
kimya,silence
kina,rhyme
kinofu,flesh
kinu,mortar
kioja,miracle
kionjo,taste
kiota,nest
kipa,goalkeeper
kipande,piece
kipara,bald
kipenyo,diameter
kipenzi,favourite
kipimo,measurement
kipindi,program
kipochi,wallet
kiraka,patch
kiri,accept
kiroto,stool
kisigino,heel
kisiwa,island
kisu,knife
kitabu,book
kitambaa,rug
kitanda,bed
kitendo,act
kitengo,section
kiti,chair
kitongoji,estate
kitu,thing
kitubio,repentance
kitufe,button
kitunguu,onion
kituo,station
kiumbe,creation
kiuno,waist
kiwanda,industry
kizuizi,barrier
klabu,club
kliniki,clinic
kobe,tortoise
kocha,coach
kodi,commission
kofia,hat
kolabo,collaboration
komamanga,pomegranate
komba,baby
kona,ekona
konda,thin
kondakta,conductor
kondoo,sheep
koo,throat
kope,eyelid
kopi,pulley
kosa,mistake
koti,coat
krismasi,christmas
kucha,warbler
kuiga,imitate
kujivinjari,enjoy
kuku,chicken
kukuza,grow
kumi,ten
kuna,grate
kunguni,bedbug
kunguru,crow
kuni,firewood
kuoa,marry
kupe,tick
kura,elections
kuro,waterbuck
kusisimua,excite
kusudio,expectation
kuta,walls
kutu,rust
kuvimba,swell
kwanga,hyrax
kwanza,first
kwaya,choir
laana,curse
lango,gateway
lawama,complaint
lazima,must
leja,ledger
lengo,aim
lenzi,lens
leo,today
ligi,league
macho,eyes
machozi,tears
machungwa,oranges
madaktari,doctors
madarasa,classrooms
madereva,drivers
madini,mineral
madiwani,mayors
maembe,mangoes
mafunzo,lessons
mafuta,fat
magamba,skins
magari,cars
magodoro,mattresses
magonjwa,diseases
magoti,knees
mahabusu,prisoners
mahakama,court
mahakimu,magistrates
maharagwe,beans
mahindi,maizes
mahojiano,interview
maiti,corpse
majambazi,gangstars
majani,leaves
majaribio,tests
majengo,buildings
majeshi,armies
maji,water
majibu,answers
majimaji,liquid
majimakuu,sea
majina,names
majirani,neighbours
majivu,ashes
majukumu,responsibilities
makala,article
makampuni,companies
makao,residence
makaratasi,papers
makasi,scissor
makini,perfect
makocha,coaches
makosa,mistakes
maktaba,library
makusudi,intentional
malenga,poet
malengo,aims
mali,asset
malkia,queen
mama,mother
mamba,crocodile
mambo,issues
mamlaka,authority
mamluki,mercenary
mananasi,pineapples
maneno,words
manjano,yellow
manufaa,benefit
manyunyu,showers
maombi,requests
maoni,opinions
maonyesho,shows
mapaja,thighs
mapapai,pawpaws
mapato,income
mapendekezo,proposals
mapinduzi,revolution
mapua,noses
marafiki,friends
marekebisho,correction
masaa,hours
masafa,range
masaibu,problem
mashabiki,fans
mashairi,poems
mashimo,holes
mashindano,contests
mashine,machine
mashirika,organizations
mashtaka,charges
masikio,ears
maskini,poor
masoko,markets
masomo,subjects
maswali,questions
mataifa,nations
matakwa,needs
matamshi,pronunciation
matawi,branches
matokeo,results
matukio,events
matumizi,use
matunda,fruits
matusi,insults
maua,lawns
mauzo,sales
mavazi,outfits
mavi,faeces
mawasiliano,communication
mawaziri,ministers
mawimbi,waves
mawingu,clouds
maya,anger
mayai,eggs
mazingira,environment
maziwa,milk
mazoezi,exercises
mazungumzo,discussion
mbano,clamp
mbao,timber
mbegu,seed
mbili,two
mbio,race
mboga,vegetable
mboni,eyeball
mbuni,ostrich
mbuzi,goat
mbwa,dog
mbweha,fox
mchanga,soil
mchanganyiko,mixture
mchango,donation
mchele,rice
mcheshi,clown
mchezaji,player
mchezo,sport
mchochezi,agitator
mchoyo,selfish
mchungaji,herdsman
mchunguzi,investigator
mchuzi,stew
mchwa,ant
mdahalo,debate
mdomo,mouth
mechi,match
meneja,manager
mengi,alot
meno,teeth
meya,mayor
meza,table
mfalme,king
mfano,example
mfanyikazi,maid
mfereji,tap
mfuko,bag
mfumo,system
mfupa,bone
mganga,witchdoctor
mgomo,strike
mgongo,back
mguu,leg
mhalifu,criminal
mhenga,ancestor
mia,hundred
miaka,years
michango,donations
michezo,sports
michuano,matches
miezi,months
mifano,examples
mifugo,animals
mifuko,bags
mifupa,bones
migongo,backs
miiba,thorns
miili,bodies
mikate,breads
mikono,arms
mikopo,loans
milango,doors
milele,forever
milima,mountains
mimba,pregnant
mimea,plants
mioyo,hearts
mipaka,boundaries
miraba,sqaures
mishahara,salaries
mishale,arrows
misingi,foundations
misitu,forests
mistari,lines
mita,meter
mitaa,neighbourhoods
mitego,traps
miti,trees
mitihani,exams
mito,rivers
miwa,cane
miwani,spectacles
mizani,scales
mizizi,roots
mji,town
mjukuu,grandchild
mkahawa,cafe
mkate,bread
mkazi,resident
mkebe,tin
mkeka,mat
mkia,tail
mkokoteni,cart
mkondo,flow
mkopo,loan
mkubwa,big
mkufu,chain
mkufunzi,lecturer
mkunjo,crease
mkurugenzi,director
mlafi,glutton
mlango,door
mlanguzi,middleman
mlevi,drunkard
mlezi,nanny
mlima,mountain
mlinzi,watchman
mmea,plant
mnazi,palm
mnyama,animal
moja,one
moshi,smoke
moto,fire
motokaa,car
moyo,heart
mpaka,boundary
mpangilio,arrangement
mpenzi,lover
mpepea,draft
mpilipili,pepper
mpinzani,opponent
mpishi,cook
mraba,square
mratibu,co-rdinator
mrembo,lady
mrija,tube
msaada,help
msafiri,traveler
msaidizi,assistant
msalaba,cross
msambamba,parallelogram
msanii,artist
msemaji,spokesperson
msemo,saying
mshahara,salary
mshale,arrow
mshindani,contestant
mshindi,winner
mshipa,vein
mshirikina,sorcerer
mshtaki,accuser
mshtakiwa,accused
mshtuko,shock
mshukiwa,suspect
msichana,girl
msimamizi,overseer
msimamo,stand
msimu,season
msitu,forest
msomaji,reader
mstari,line
mstatili,rectangle
msuli,muscle
mtaa,neighbourhood
mtalii,tourist
mtandao,network
mtangazaji,presenter
mtazamaji,viewer
mtazamo,observation
mtego,trap
mteja,customer
mteremko,slope
mtetezi,defender
mti,tree
mtihani,exam
mtiifu,obedient
mto,river
mtoto,child
mtu,person
mtumbwi,canoe
mtumishi,servant
mtungi,pot
muda,timing
mudu,manage
mume,husband
muuguzi,nurse
mviringo,sphere
mvua,rain
mvuke,steam
mvulana,boy
mvuvi,fisherman
mwafaka,appropriate
mwaga,pour
mwajiri,employer
mwajiriwa,employee
mwaka,year
mwalimu,teacher
mwanachama,member
mwanafunzi,student
mwanamke,woman
mwanamume,man
mwanamuziki,musician
mwananchi,citizen
mwandamizi,successor
mwandishi,author
mwavuli,umbrella
mwelekeo,direction
mwelekezi,guide
mwera,hen
mwezi,moon
mwiba,thorn
mwili,body
mwindaji,hunter
mwinyi,mister
mwisho,end
mwitu,wilderness
mwongo,millennium
mzambarau,plums
mzazi,parent
mzee,elder
mzigo,luggage
mzinga,hive
mzizi,root
nafasi,space
nafuu,khuola
nakala,copy
nanga,anchor
ndege,bird
ndogo,small
ndovu,elephant
nene,thick
ngamia,camel
ngazi,ladder
ngoma,drum
ngumi,fist
nguo,cloth
nguvu,strength
njaa,hunger
nje,outside
njia,way
nne,four
noti,note
novemba,november
nundu,hump
nusu,half
nyama,meat
nyani,monkey
nyanya,tomato
nyasi,grass
nyati,buffalo
nyoka,snake
nyota,star
nyumba,ot
nyundo,hammer
nywele,hair
nzuri,nice
ofisa,officer
oktoba,october
ombi,request
ongeza,add
paa,roof
paka,cat
pakiti,packet
pamba,cotton
pana,wide
panya,rat
papa,shark
pato,earnings
pedi,pad
pembe,horn
picha,picture
pointi,point
pole,sorry
polisi,police
povu,foam
pua,nose
punda,donkey
pundamilia,zebra
pupa,greediness
pwani,coast
rafiki,friend
rai,view
rais,president
rekodi,record
riadha,athletics
riwaya,novel
robo,quarter
rubani,pilot
saa,time
saba,seven
sabini,seventy
sabuni,soap
safi,clean
safu,row
sahani,plate
sakafu,floor
samaki,fish
sarafu,coin
sayansi,science
sehemu,part
sekta,sector
septemba,september
seremala,carpenter
serikali,government
shaba,copper
sherehe,celebration
sheria,law
shimo,hole
shingo,neck
shughuli,occupation
shule,school
siasa,politics
sikio,ear
siku,day
silaha,weapons
simba,lion
simu,telephone
sita,six
sitini,sixty
soko,market
sokwe,baboon
spidi,speed
sukari,sugar
sura,face
suruali,trouser
suti,suit
swala,prayer
swali,question
taaluma,study
taarifa,headline
tai,tie
taji,crown
tajiri,rich
taka,want
takwimu,statistics
tamasha,festival
tambaa,crawl
tamko,utterance
tano,five
taratibu,carefully
taswira,vision
tatu,three
tausi,peacock
tawi,branch
teksi,taxi
televisheni,television
tendo,action
thelathini,thirty
themanini,eighty
timu,team
tisa,nine
tisini,ninety
toka,leave
tone,drop
trafiki,police
tukio,event
tumbo,stomach
tunda,fruit
tuzo,token
twiga,giraffe
ua,lawn
uchafu,dirt
uchaguzi,election
uchovu,fatigue
ufa,crack
ugonjwa,disease
uhai,life
ujana,youth
ujasiri,bravery
uji,porridge
ukaguzi,inspection
ukuaji,growth
ukuta,wall
ulimi,tongue
ulimwengu,world
ulinzi,surveillance
uma,pain
umasikini,poverty
umbali,distance
umeme,electricity
umma,public
umoja,unity
umuhimu,importance
upana,width
upande,side
upele,rash
upimaji,assessment
upweke,loneliness
urafiki,friendship
usafi,cleanliness
usafiri,transportation
usalama,safety
usawa,equality
ushindi,victory
ushirika,togetherness
usimamizi,supervision
utafiti,research
utani,joke
utatuzi,solve
utawala,leadership
uti,stalk
utupu,empty
uuguzi,nursing
uvuguvugu,warm
uvuvi,fishing
uwanja,field
uwekezaji,investment
uzazi,womb
uzee,aged
uzembe,laziness
uzi,string
uzito,heavy
viatu,shoes
viazi,potatoes
vifo,deaths
vikombe,cups
vikundi,groups
vikwazo,sanctions
vilema,handicaps
vipimo,measurements
vipuli,rings
virusi,virus
visiwa,islands
vita,wars
vitabu,books
viti,chairs
vyakula,foods
vyama,parties
vyombo,tools
vyumba,rooms
vyura,frogs
waajiri,employers
waandishi,authors
wachezaji,players
wafu,corpses
wajibu,responsibility
wakili,lawyer
wakurugenzi,directors
wakuu,heads
walezi,nannies
walimu,teachers
walinzi,watchmen
wanafunzi,students
wanasheria,lawyers
wanaume,men
wanawake,women
wanyama,animals
wapenzi,lovers
wapinzani,opponents
warsha,seminar
wasanii,artists
washindi,winners
washiriki,members
wasichana,ladies
wasimamizi,overseers
wasiwasi,worry
watawala,leaders
wateja,customers
watetezi,defenders
watoto,phavana
watu,persons
watumishi,servants
wavu,net
wavulana,boys
wavuvi,fishermen
waya,wire
wazazi,parents
wazi,open
waziri,minister
wazo,thought
wema,goodness
wepesi,light
wezi,thieves
wimbi,wave
wingi,plural
wito,calling
wizi,theft
woga,fear
yadi,yard
yai,egg
yowe,shout
zahanati,edispensari
zaidi,excess
zambarau,grape
zana,apparatus
ziada,extra
zoezi,exercise
